Date,State,TotalSamples
10/6/2020,Andhra Pradesh,6216240
10/6/2020,Arunachal Pradesh,263242
10/6/2020,Assam,3705740
10/6/2020,Bihar,7893739
10/6/2020,Chandigarh,82586
10/6/2020,Chhattisgarh,1212678
10/6/2020,Delhi,3370968
10/6/2020,Goa,264139
10/6/2020,Gujarat,4754655
10/6/2020,Haryana,2079160
10/6/2020,Himachal Pradesh,311773
10/6/2020,Jammu & Kashmir,1741300
10/6/2020,Jharkhand,2465841
10/6/2020,Karnataka,5419954
10/6/2020,Kerala,3263691
10/6/2020,Madhya Pradesh,2257909
10/6/2020,Maharashtra,7241376
10/6/2020,Mizoram,83965
10/6/2020,Nagaland,82968
10/6/2020,Odisha,3524242
10/6/2020,Puducherry,215155
10/6/2020,Punjab,1996719
10/6/2020,Rajasthan,3245268
10/6/2020,Sikkim,51935
10/6/2020,Tamil Nadu,7863864
10/6/2020,Telangana,3346472
10/6/2020,Tripura,404688
10/6/2020,Uttar Pradesh,11044860
10/6/2020,Uttarakhand,763884
10/6/2020,West Bengal,3480510
