Date,State,Latitude,Longitude,TotalCases,Death,Cured,NewCases,NewDeaths,NewCured
2020-08-06,Andaman & Nicobar Island,11.7401,92.6586,1027.0,14,326.0,99,0,49
2020-08-06,Andhra Pradesh,15.9129,79.74,186461.0,1681,104354.0,10128,0,8729
2020-08-06,Arunachal Pradesh,28.218000000000004,94.7278,1855.0,3,1210.0,65,0,105
2020-08-06,Assam,26.2006,92.9376,50445.0,121,35892.0,2284,0,1471
2020-08-06,Bihar,25.0961,85.3131,64770.0,355,42414.0,2982,0,2066
2020-08-06,Chandigarh,30.7333,76.7794,1270.0,20,715.0,64,0,0
2020-08-06,Chhattisgarh,21.2787,81.8661,10407.0,71,7871.0,205,0,258
2020-08-06,Daman & Diu,20.1809,73.0169,1366.0,2,960.0,41,0,41
2020-08-06,Delhi,28.7041,77.1025,140232.0,4044,126116.0,1076,0,890
2020-08-06,Goa,15.2993,74.124,7423.0,64,5287.0,348,0,173
2020-08-06,Gujarat,22.2587,71.1924,66669.0,2556,49433.0,1070,0,1057
2020-08-06,Haryana,29.0588,76.0856,38548.0,455,31960.0,752,0,734
2020-08-06,Himachal Pradesh,31.1048,77.1734,2916.0,14,1762.0,37,0,52
2020-08-06,Jammu & Kashmir,33.7782,76.5762,22955.0,426,15244.0,559,0,388
2020-08-06,Jharkhand,23.6102,85.2799,14888.0,136,5703.0,948,0,539
2020-08-06,Karnataka,15.3173,75.7139,151449.0,2804,74679.0,5619,0,5407
2020-08-06,Kerala,10.8505,76.2711,29151.0,94,17533.0,1195,0,1234
2020-08-06,Madhya Pradesh,22.9734,78.6569,35734.0,929,26064.0,652,0,650
2020-08-06,Maharashtra,19.7515,75.7139,468265.0,16476,305521.0,10309,0,6165
2020-08-06,Manipur,24.6637,93.9063,3093.0,7,1862.0,75,0,48
2020-08-06,Meghalaya,25.467,91.3662,929.0,5,330.0,12,0,0
2020-08-06,Mizoram,23.1645,92.9376,537.0,0,286.0,33,0,4
2020-08-06,Nagaland,26.1584,94.5624,2498.0,6,685.0,93,0,26
2020-08-06,Odisha,20.9517,85.0985,39018.0,225,25738.0,1337,0,1255
2020-08-06,Puducherry,11.9416,79.8083,4433.0,65,2668.0,286,0,131
2020-08-06,Punjab,31.1471,75.3412,19856.0,491,12943.0,841,0,452
2020-08-06,Rajasthan,27.0238,74.2179,47272.0,745,33849.0,593,0,1017
2020-08-06,Sikkim,27.533,88.5122,800.0,1,303.0,17,0,4
2020-08-06,Tamil Nadu,11.1271,78.6569,273460.0,4461,214815.0,5175,0,6031
2020-08-06,Telangana,18.1124,79.0193,73050.0,589,52103.0,2092,0,1289
2020-08-06,Tripura,23.9408,91.9882,5725.0,31,3793.0,97,0,68
2020-08-06,Uttar Pradesh,26.8467,80.9462,104388.0,1857,60558.0,4078,0,3287
2020-08-06,Uttarakhand,30.0668,79.0193,8254.0,98,5233.0,246,0,386
2020-08-06,West Bengal,22.9868,87.855,83800.0,1846,58962.0,2816,0,2078
